title,Manually Entered?,Image,Image Caption,Image Source,Rights Holder,Description,Author,Editor,Translator,Type,Original Language,Copyright Status,Copyright Date
Parallax,,,,,,"This long poem is the third book by Nancy Cunard and her only one published by The Hogarth Press. Cunard went on to found another modernist small press, The Hours Press (though she was famously discouraged by Virginia Woolf when she began this endeavour). She was a member of Parisian modernist circles and was well-connected in the literary and political activist networks of Paris. Parallax itself is a highly experimental poem with a great degree of narrative innovation and temporal play. It is in many ways quintessentially modernist.",Nancy Cunard,,,Poetry,English,,1925
Russet and Taffeta,,6354.jpg,"front cover of ""Russet and Taffeta""",E.J. Pratt Library,Penguin Random House Archive and Library,"A hand-marbled paper covered book of exquisite and sad poetry, this book is dedicated to Virginia Woolf. The poems are mostly elegies, lamenting the sadness of lost love.",George Rylands,,,Poetry,English,,1925
Streamers Waving,,streamerswaving__002_front.jpg,"dust jacket of ""Streamers Waving""",Bruce Peel Library,Penguin Random House Archive and Library,A satirical novel takes an eccentric protagonist's view on life in the 1920s. Better known for his detective fiction (below) Kitchin's writing has received some recent critical attention by Gillespie and Southworth.,C. H. B. Kitchin,,,Novel,English,,1925
Mrs. Dalloway,,mrsdalloway_002_front.jpg,"Vanessa Bell, dust jacket of ""Mrs. Dalloway""",Bruce Peel Library,Henrietta Garnett,"One of Woolf's most well-known and frequently studied novels, Woolf's portrait of Clarissa Dalloway appeared to great fanfare in 1925.",Virginia Woolf,,,Novel,English,,1925
Turbott Wolfe,,,,,,"Plomer's frst novel with the Press, Turbott Wolfe began a long publishing relationship with this South African writer. Set in South Africa, Turbott Wolfe describes the racial dynamics between black and white South Africans and aims to portray these to a British reading public (Young 128). The narrator is a character called ""William Plomer.""",William Plomer,,,Novel,English,,1925
Original Letters from India,,6426.jpg,"dust jacket of ""Original Letters from India""",E.J. Pratt Library,Penguin Random House Archive and Library,"A reissuing of a 1908 book of the letters of Eliza Fay, an Englishwoman who traveled across Europe and the Middle East to Bengal in the late 1700s. Fay writes home about her travel adventures and describes her escapades dressing in drag and her observations about life in India. The book could easily be described as a piece of Travel, though the letters are authentic documents and the book itself not a coherent narrative but a series of separate letters. Forster's introduction to this publication describes Fay as 'a work of art' and 'also a historical character' and praises her 'tremendous presence' and 'prepotent form.' (7). There is a portrait of Fay used as a frontispiece in the book. The book has since been reissued again, with Forster's introduction, by New York Review Books in 2010.",Eliza Fay,,,Letters,English,,1925
Women: An Inquiry,,6260.jpg,"dust jacket of ""Women: An Inquiry""",E.J. Pratt Library,Penguin Random House Archive and Library,"Muir's Hogarth Essay attempts to address the question of whether ""the division of the human race into men and women involves a division of spiritual as well as of sexual functions, so that the creative work of women is different in kind from the creative work of men."" Muir discusses several current understandings of the relationship between gender, morality, and creativity and attempts to propose that women develop their own self-conscious method of producing art that better reflects their gendered worldview.",Willa Muir,,,Politics,English,,1925
The Common Reader,,commonseries_002_front.jpg,"Vanessa Bell, dust jacket of ""The Common Reader""",Bruce Peel Library,Henrietta Garnett,"Woolf's collections of essays published by the Press, The Common Reader takes Samuel Johnson's phrase and refashions it for the modernist period. Now often discussed and well-known, this collection of essays consists of some purpose- written essays and some of Woolf's reviews for the TLS and other literary periodicals. Like all of Woolf's works by this time, it was a great publishing success and required a second impression in the same year.",Virginia Woolf,,,Literary Criticism,English,,1925
A Short View of Russia,,6240.jpg,"dust jacket of ""A Short View of Russia""",E.J. Pratt Library,Penguin Random House Archive and Library,"Keynes's observations on the Russian situation. He positions himself authorially not as an expert but as an impartial observer of the Russian climate as it strikes a contemporary English economist. He writes that there is a need for the book because ""'No English newspaper has a regular correspondent resident in Russia. We rightly attach small credence to what the Soviet authorities say about themselves' (11).",John Maynard Keynes,,,Politics,English,,1925
Poetry & Criticism,,6429.jpg,"Vanessa Bell, front cover of ""Poetry & Criticism""",E.J. Pratt Library,Henrietta Garnett,A Hogarth Essay,Edith Sitwell,,,Literary Criticism,English,,1925
Anonymity an Enquiry,,6323.jpg,"Vanessa Bell, dust jacket of ""Anonymity an Enquiry""",E.J. Pratt Library,Henrietta Garnett,"Forster's essay asks the basic question of whether or not people like to know who a book is by. He argues that the fashion for insisting on the relevance of a literary critic's personality is too extreme, and that this is so because there are two levels of personality, one on the surface and one deeper down. The essay has a certain relevance to biographical writing since it suggests that the facts and trivialities of a writer's life can fly out the window when a person is absorbed in reading literature, but also indicates something about the necessity of attempting to portray the deeper aspects of the self. Ultimately, Forster argues that literature does what academic work cannot do, since, he argues, 'Study is only a serious form of gossip. It teaches us everything about the book except the central thing, and between that and us it races a circular barrier, which only the wings of the spirit can cross' (20).",E. M. Forster,,,Literary Criticism,English,,1925
Contemporary Techniques of Poetry A Political Analogy,,,,,,A Hogarth Essay (Subtitle: A Political Analogy),Robert Graves,,,Literary Criticism,English,,1925
The Story of the League of Nations Told for Young People,,TheStoryOfTheLeagueOfNations_001.tif,"front cover of ""The Story of the League of Nations Told for Young People"" ",Bruce Peel Library ,Penguin Random House Archive and Library,"The first of two educational books about the League of Nations written for children, this volume explains the establishment of the League of Nations and its formation. Innes was the secretary of the Peace Committee of the Society of Friends (the organization that also sponsored the Merttens Lectures) and she guaranteed that the Society would buy a certain number of copies of the book. It was also marketed to schools and was approved by the London County Council, which made it a great publishing success (Willis 221). The book did what perhaps the later World-Makers and World-Shakers were expected to do and has a comparable premise, although the latter books were less successful.",Kathleen Innes,,,Politics,English,,1925
Histriophone A Dialogue on Dramatic Diction,,,,,,"An essay on language in Drama written by a scholar of Restoration Comedy, this book enacts its own theory by presenting dramatic diction in dialogue form.",Bonamy Dobree,,,Literary Criticism,English,,1925
